ophys_session_id,ophys_experiment_id,date_of_acquisition,rig_id,rig_name,screen_center_x_mm,screen_center_y_mm,screen_center_z_mm
765386317,779319647,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319650,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319654,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319658,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319666,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319669,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319672,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765386317,779319675,2018-10-18 14:58:52.802000,769904239,MESO.1,118.6,86.2,31.6
765388685,765522431,2018-10-18 14:07:49.921000,506540632,CAM2P.3,118.6,86.2,31.6
765388758,765520297,2018-10-18 13:47:12.344000,480119307,CAM2P.2,118.6,86.2,31.6
765391103,765856596,2018-10-18 16:20:45.231000,523490080,CAM2P.5,118.6,86.2,31.6
765409309,765496406,2018-10-18 15:00:19,722885523,DS.1,118.6,86.2,31.6
765409309,765496422,2018-10-18 15:00:19,722885523,DS.1,118.6,86.2,31.6
765409309,765496441,2018-10-18 15:00:19,722885523,DS.1,118.6,86.2,31.6
765409309,765496460,2018-10-18 15:00:19,722885523,DS.1,118.6,86.2,31.6
765409309,765496475,2018-10-18 15:00:19,722885523,DS.1,118.6,86.2,31.6
765409309,765496493,2018-10-18 15:00:19,722885523,DS.1,118.6,86.2,31.6
765423149,765437649,2018-10-18 22:31:49,604519819,CAM2P.6,118.6,86.2,31.6
765427689,765525322,2018-10-18 17:18:29.755000,480119307,CAM2P.2,118.6,86.2,31.6
765555852,766270149,2018-10-19 08:25:27.391000,480119307,CAM2P.2,118.6,86.2,31.6
765556204,766269709,2018-10-19 08:35:27.366000,480119305,CAM2P.1,118.6,86.2,31.6
765653210,766274425,2018-10-19 09:42:47.800000,523490076,CAM2P.4,118.6,86.2,31.6
765884228,766270826,2018-10-19 12:29:03.814000,480119305,CAM2P.1,118.6,86.2,31.6
765917553,776865698,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865704,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865710,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865717,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865720,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865723,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865731,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765917553,776865738,2018-10-19 14:08:30.924000,769904239,MESO.1,118.6,86.2,31.6
765930355,766272402,2018-10-19 12:56:35.983000,480119307,CAM2P.2,118.6,86.2,31.6
765930981,766216042,2018-10-19 13:10:21.053000,722885523,DS.1,118.6,86.2,31.6
765930981,766216063,2018-10-19 13:10:21.053000,722885523,DS.1,118.6,86.2,31.6
765930981,766216083,2018-10-19 13:10:21.053000,722885523,DS.1,118.6,86.2,31.6
765930981,766216108,2018-10-19 13:10:21.053000,722885523,DS.1,118.6,86.2,31.6
765930981,766216132,2018-10-19 13:10:21.053000,722885523,DS.1,118.6,86.2,31.6
765930981,766216151,2018-10-19 13:10:21.053000,722885523,DS.1,118.6,86.2,31.6
766053999,766224671,2018-10-19 14:51:05.293000,722885523,DS.1,118.6,86.2,31.6
766053999,766224683,2018-10-19 14:51:05.293000,722885523,DS.1,118.6,86.2,31.6
766053999,766224695,2018-10-19 14:51:05.293000,722885523,DS.1,118.6,86.2,31.6
766053999,766224707,2018-10-19 14:51:05.293000,722885523,DS.1,118.6,86.2,31.6
766053999,766224719,2018-10-19 14:51:05.293000,722885523,DS.1,118.6,86.2,31.6
